"<span class=""h4""><b>Master</b></span>","<span class=""h4""><b>Мастер</b></span>"
"<span style=""font-size: 18px;""><b>Statistics</b></span>","<span style=""font-size: 18px;""><b>Статистика</b></span>"
"A course cannot have both paid certificate and certificate of completion.","Курста ақылы сертификат пен оқуды аяқтағаны туралы сертификат болуы мүмкін емес."
"A date is required.","Күн қажет."
"A new batch '{0}' has been published that might interest you. Check it out!","Сізді қызықтыруы мүмкін ""{0}"" жаңа партиясы жарияланды. Тексеріңіз!"
"A new batch has been published on ","Жаңа топтама жарияланды "
"A new course '{0}' has been published that might interest you. Check it out!","Сізді қызықтыруы мүмкін ""{0}"" жаңа курсы жарияланды. Тексеріңіз!"
"A new course has been published on ","Жаңа курс жарияланды "
"A new course has been published on {0}","{0} сайтында жаңа курс жарияланды"
"A short summary of the course for search results.","Іздеу нәтижелері үшін курстың қысқаша мазмұны."
"A submission for {0} by {1} already exists.","{0} үшін {1} жіберуі әлдеқашан бар."
"A time is required.","Уақыт қажет."
"About","Платформа туралы"
"About this course","Бұл курс туралы"
"Acceptance for Terms and/or Policies","Шарттарды және /or саясатын қабылдау"
"Access courses, join batches, and track learning progress","Курстарға қол жеткізіңіз, топтамаларға қосылыңыз және оқу барысын бақылаңыз"
"Account","Тіркелгі"
"Account holder name","Есептік жазба иесінің аты"
"Account ID","Тіркелгі идентификаторы"
"Account Name","Тіркелгі атауы"
"Account name","Тіркелгі атауы"
"Account name is required","Тіркелгі атауы қажет"
"Achievements","Жетістіктер"
"Actions for {0}","{0} үшін әрекеттер"
"Active Members","Белсенді мүшелер"
"Add","қосу"
"Add a Chapter","Бөлім қосыңыз"
"Add a chapter","Бөлім қосыңыз"
"Add a course to the batch","Топтамаға курс қосыңыз"
"Add a Lesson","Сабақ қосу"
"Add a lesson","Сабақ қосу"
"Add a program","Бағдарлама қосыңыз"
"Add a programming exercise to your lesson","Сабаққа бағдарламалау жаттығуын қосыңыз"
"Add a question to get started","Бастау үшін сұрақ қосыңыз"
"Add a quiz to your lesson","Сабаққа викторина қосыңыз"
"Add a {0} before saving.","Сақтау алдында {0} қосыңыз."
"Add an assessment","Бағалауды қосыңыз"
"Add an assignment to your lesson","Сабаққа тапсырма қосыңыз"
"Add at least one possible answer for this question: {0}","Бұл сұраққа кем дегенде бір ықтимал жауапты қосыңыз: {0}"
"Add at least one {0} before saving.","Сақтау алдында кемінде бір {0} қосыңыз."
"Add Chapter","Бөлім қосу"
"Add chapter","Бөлім қосу"
"Add Course to Program","Бағдарламаға курс қосу"
"Add courses to your batch","Топтамаңызға курстарды қосыңыз"
"Add Lesson","Сабақ қосу"
"Add lesson","Сабақ қосу"
"Add members?","Мүшелерді қосу керек пе?"
"Add New Member","Жаңа мүше қосу"
"Add one to get started","Бастау үшін біреуін қосыңыз"
"Add Option","Опция қосу"
"Add Possibility","Мүмкіндік қосу"
"Add pricing and go live.","Бағаны қосып, тікелей эфирге өтіңіз."
"Add Question","Сұрақ қосу"
"Add quiz to this video","Осы бейнеге викторина қосыңыз"
"Add Quiz to Video","Бейнеге викторина қосыңыз"
"Add Row","Жол қосу"
"Add rule","Ереже қосу"
"Add Slot","Слот қосу"
"Add students to the batch to make an announcement","Хабарландыру жасау үшін студенттерді топтамаға қосыңыз"
"Add students to your batch","Топтамаңызға студенттерді қосыңыз"
"Add tag","Тег қосыңыз"
"Add Test Case","Сынақ жағдайын қосыңыз"
"Add to Notes","Жазбаларға қосыңыз"
"Add web page to sidebar","Бүйірлік тақтаға веб-бетті қосыңыз"
"Add your first chapter","Бірінші тарауыңызды қосыңыз"
"Add your first lesson","Бірінші сабағыңызды қосыңыз"
"Add {0} members","{0} мүшелерін қосыңыз"
"Add {0}, remove {1}","{0} қосыңыз, {1} жойыңыз"
"Address","Мекенжай"
"Address created successfully","Мекенжай сәтті жасалды"
"Address Line 1","Мекенжай жолы 1"
"Address Line 2","Мекенжай жолы 2"
"Address Title","Мекенжай атауы"
"Address Title, Address Line 1, City and Country are required.","Мекенжай атауы, мекенжай жолы 1, қала және ел қажет."
"Address Type","Мекенжай түрі"
"Admin","Админ"
"Administrator","Әкімші"
"Advanced settings","Қосымша параметрлер"
"AI assistant (ChatGPT, etc.)","AI көмекшісі (ChatGPT, т.б.)"
"Align center","Ортасына туралаңыз"
"Align left","Солға туралаңыз"
"Align right","Оңға туралаңыз"
"All","Барлығы"
"All Batches","Барлық топтамалар"
"All Courses","Барлық курстар"
"All document types","Барлық құжат түрлері"
"All Payments","Барлық төлемдер"
"All Programs","Барлық бағдарламалар"
"All questions should have the same marks if the limit is set.","Шектеу орнатылған болса, барлық сұрақтардың бағасы бірдей болуы керек."
"All times in {0}","Барлық уақытта {0}"
"Allow accessing future dates","Болашақ күндерге қол жеткізуге рұқсат етіңіз"
"Allow Guest Access","Қонақтардың кіруіне рұқсат беру"
"Allow Job Posting","Жұмысты жариялауға рұқсат беріңіз"
"Allow Self Enrollment","Өзін-өзі тіркеуге рұқсат беріңіз"
"Allow users to enroll in this batch on their own.","Пайдаланушыларға осы топтамаға өз бетінше тіркелуге рұқсат беріңіз."
"Allow users to view their past quiz attempts.","Пайдаланушыларға өздерінің өткен сынақ әрекеттерін көруге рұқсат беріңіз."
"Already Registered","Қазірдің өзінде тіркелген"
"Already using Frappe / ERPNext","Қазірдің өзінде Frappe / ERPNext пайдалануда"
"Also teaching","Сондай-ақ оқыту"
"Amber","Кәріптас"
"Amount","Сома"
"Amount (USD)","Сома (АҚШ доллары)"
"Amount and currency are required for paid batches.","Төленген партиялар үшін сома мен валюта қажет."
"Amount and currency are required for paid certificates.","Ақылы сертификаттар үшін сома мен валюта қажет."
"Amount and currency are required for paid courses.","Ақылы курстар үшін сома мен валюта қажет."
"Amount must be a positive number for {0}.","{0} үшін сома оң сан болуы керек."
"Amount with GST","GST қосылған сома"
"and","және"
"and then 'Add to Home Screen'","содан кейін «Негізгі экранға қосу»"
"Announcement","Хабарландыру"
"Announcement has been sent successfully","Хабарландыру сәтті жіберілді"
"Announcement is required","Хабарландыру қажет"
"Announcements","Хабарландырулар"
"Answer","Жауап"
"answers","жауаптар"
"API Key","API кілті"
"API Key is required","API кілті қажет"
"API Secret","API құпиясы"
"API Secret is required","API құпиясы қажет"
"Appears in the left sidebar. Recommended size is 32x32 px in PNG or SVG","Сол жақ бүйірлік тақтада пайда болады. PNG немесе SVG форматында ұсынылатын өлшем 32x32 пиксель"
"Appears next to the title in your browser tab. Recommended size is 32x32 px in PNG or ICO","Браузер қойындысындағы тақырыптың жанында пайда болады. PNG немесе ICO форматында ұсынылатын өлшем 32x32 пиксель"
"Applicable For","Қолданылатын"
"Applicable Items","Қолданылатын элементтер"
"applicant","өтініш беруші"
"applicants","өтініш берушілер"
"Application","Қолданба"
"Application Form Link","Өтініш формасы сілтемесі"
"Applications","Қолданбалар"
"Applied On","Қолданылған"
"Applies to this device only.","Тек осы құрылғыға қолданылады."
"Apply","Қолдану"
"Apply for this job","Осы жұмысқа өтініш беріңіз"
"Apply GST for India","Үндістан үшін GST қолдану"
"Apply Rounding on Equivalent","Эквивалент бойынша дөңгелектеуді қолданыңыз"
"Approved","Бекітілді"
"Apps","Қолданбалар"
"Archived","Мұрағатталған"
"Are you sure you want to cancel this evaluation? This action cannot be undone.","Бұл бағалаудан шынымен бас тартқыңыз келе ме? Бұл әрекетті қайтару мүмкін емес."
"Are you sure you want to clear the demo data? This will delete the YU-LMS introduction course and all associated data. This action cannot be undone.","Демо деректерін өшіргіңіз келетініне сенімдісіз бе? Бұл YU-LMS кіріспе курсын және барлық қатысты деректерді жояды. Бұл әрекетті қайтару мүмкін емес."
"Are you sure you want to clear the demo data? This would delete the course ""A guide  to Frappe Learning"" along with all its associated data. This action cannot be undone.","Демо деректерін өшіргіңіз келетініне сенімдісіз бе? Бұл «Frappe Learning бойынша нұсқаулық» курсын барлық қатысты деректерімен бірге жояды. Бұл әрекетті қайтару мүмкін емес."
"Are you sure you want to delete this program? This action cannot be undone.","Бұл бағдарламаны шынымен жойғыңыз келе ме? Бұл әрекетті қайтару мүмкін емес."
"Are you sure you want to enroll?","Тіркелгіңіз келетініне сенімдісіз бе?"
"Are you sure you want to login to your Frappe Cloud dashboard?","Frappe Cloud бақылау тақтасына шынымен кіргіңіз келе ме?"
"Are you sure you want to submit the quiz?","Викторинаны жібергіңіз келетініне сенімдісіз бе?"
"Armenia","Армения"
"As a part of this batch's curriculum you will have to complete the following courses and assessments.","Осы топтаманың оқу жоспарының бөлігі ретінде келесі курстар мен бағалауларды аяқтау керек."
"Ask a question to get help from the community.","Қоғамнан көмек алу үшін сұрақ қойыңыз."
"Assessment","Бағалау"
"Assessment added successfully","Бағалау сәтті қосылды"
"Assessment Name","Бағалау атауы"
"Assessment Type","Бағалау түрі"
"Assessment {0} has already been added to this batch.","{0} бағалауы осы топтамаға әлдеқашан қосылған."
"Assessments","Бағалар"
"Assign","Тағайындау"
"Assign a Badge","Белгі тағайындаңыз"
"Assign For","Тағайындау"
"Assign To","Тағайындау"
"Assignment","Тапсырма"
"Assignment Attachment","Тапсырма қосымшасы"
"Assignment created successfully","Тапсырма сәтті жасалды"
"Assignment must be a string.","Тапсырма жол болуы керек."
"Assignment Progress","Тапсырманың орындалу барысы"
"Assignment Submission","Тапсырманы жіберу"
"Assignment Submissions","Тапсырмаларды жіберу"
"Assignment submitted successfully","Тапсырма сәтті жіберілді"
"Assignment Title","Тапсырма тақырыбы"
"Assignment updated successfully","Тапсырма сәтті жаңартылды"
"Assignment will appear at the bottom of the lesson.","Тапсырма сабақтың төменгі жағында пайда болады."
"Assignments","Тапсырмалар"
"Assignments deleted successfully","Тапсырмалар сәтті жойылды"
"At least one applicable item is required","Кемінде бір тиісті элемент қажет"
"At least one option must be correct for this question.","Бұл сұраққа кем дегенде бір нұсқа дұрыс болуы керек."
"At least one test case is required for the programming exercise.","Бағдарламалау жаттығуы үшін кем дегенде бір сынақ жағдайы қажет."
"At most {0} documents per request","Бір сұрау үшін ең көбі {0} құжаттары"
"at {0} minutes","{0} минутта"
"Attempted Questions","Талқыланатын сұрақтар"
"Attendance for Class - {0}","Сабаққа қатысу - {0}"
"Attended for","үшін қатысты"
"Attendees","Қатысушылар"
"Attire Preference","Киім артықшылығы"
"Audit Log","Әрекеттер журналы"
"Authorize Google Calendar Access","Google Calendar Access рұқсатын беру"
"Auto Recording","Автоматты жазу"
"Availability updated successfully","Қолжетімділік сәтті жаңартылды"
"Available","Қол жетімді"
"Available after production activation","Өндіріс белсендірілгеннен кейін қол жетімді"
"Available Slots","Қолжетімді слоттар"
"Average Completion Rate","Орташа аяқтау жылдамдығы"
"Average Feedback Received","Орташа кері байланыс алынды"
"Average Progress %","Орташа прогресс %"
"Average Rating","Орташа рейтинг"
"Average Watch Time (mins)","Орташа көру уақыты (мин)"
"Award my first certificate","Менің алғашқы сертификатымды беріңіз"
"Awarded For","үшін марапатталған"
"Azerbaijan","Әзірбайжан"
"Back","Артқа"
"Back to Course","Курс дегенге қайта келу"
"Back to Home","Үйге оралу"
"Back to topics","Тақырыптарға оралу"
"Badge","Белгі"
"Badge assigned successfully","Танымбелгі сәтті тағайындалды"
"Badge assignment created successfully","Танымбелгі тағайындау сәтті жасалды"
"Badge assignment deleted successfully","Танымбелгі тағайындау сәтті жойылды"
"Badge assignment updated successfully","Танымбелгі тағайындау сәтті жаңартылды"
"Badge created successfully","Танымбелгі сәтті жасалды"
"Badge deleted successfully","Танымбелгі сәтті жойылды"
"Badge Description","Белгіше сипаттамасы"
"Badge Image","Белгі кескіні"
"Badge updated successfully","Танымбелгі сәтті жаңартылды"
"Badge {0} has already been assigned to this {1}.","{0} танымбелгісі осы {1}-ге әлдеқашан тағайындалған."
"Badge {0} not found","{0} танымбелгісі табылмады"
"Bank card","Банк картасы"
"Bank reference","Банк анықтамасы"
"Based on overdue work, low progress, and recent activity.","Мерзімі өткен жұмыстарға, төмен үлгерімге және соңғы белсенділікке негізделген."
"Batch","Топ"
"Batch Confirmation Template","Пакеттік растау үлгісі"
"Batch Course","Пакеттік курс"
"Batch created successfully","Бума сәтті жасалды"
"Batch deleted successfully","Топтама сәтті жойылды"
"Batch Details","Пакет мәліметтері"
"Batch Details Raw","Пакеттік мәліметтер шикі"
"Batch End Date","Топтаманың аяқталу күні"
"Batch end date cannot be before the batch start date","Топтаманың аяқталу күні топтаманың басталу күнінен бұрын болуы мүмкін емес"
"Batch Enrollment","Пакеттік тіркеу"
"Batch Enrollment Confirmation","Пакеттік тіркеуді растау"
"Batch Enrollments","Пакеттік тіркеулер"
"Batch Evaluator","Пакеттік бағалаушы"
"Batch Feedback","Пакеттік кері байланыс"
"Batch has already started.","Топтама басталды."
"Batch is sold out.","Пакет сатылып кетті."
"Batch Name","Пакет атауы"
"Batch options","Пакеттік опциялар"
"Batch overview","Топтамаға шолу"
"Batch published","Топтама жарияланды"
"Batch Settings","Пакеттік параметрлер"
"Batch Start Date","Топтаманың басталу күні"
"Batch Start Date:","Топтаманың басталу күні:"
"Batch start time cannot be greater than or equal to end time.","Топтаманың басталу уақыты аяқталу уақытынан үлкен немесе оған тең болмауы керек."
"Batch Summary","Топтаманың қорытындысы"
"Batch Title","Пакет атауы"
"Batch unpublished","Пакет жарияланбады"
"Batch updated successfully","Топтама сәтті жаңартылды"
"Batch:","Топтама:"
"Batches","Топтар"
"Belarus","Беларусь"
"Best Regards","Құрметпен"
"Billing Details","Төлем мәліметтері"
"Billing Name","Төлем атауы"
"Bio","Био"
"Blue","Көк"
"Body","Дене"
"Bold","Қалың"
"Book a free onboarding session with the Frappe team","Frappe командасымен тегін борттық сессияға тапсырыс беріңіз"
"Both Individual and Team Work","Жеке және топтық жұмыс"
"Branch","Филиал"
"Brand Logo","Бренд логотипі"
"Brand Name","Бренд атауы"
"Brand Settings","Бренд параметрлері"
"Bring your learners into a batch.","Оқушыларыңызды топтамаға әкеліңіз."
"Build and manage courses, chapters, and lessons","Курстарды, тарауларды және сабақтарды құрастырыңыз және басқарыңыз"
"Business Owner","Бизнес иесі"
"but didn’t complete your payment","бірақ төлеміңізді аяқтамады"
"Buy this course","Бұл курсты сатып алыңыз"
"By","Авторы"
"Cancel","Болдырмау"
"cancel your application","өтінішіңізден бас тартыңыз"
"Cancelled","Бас тартылды"
"Cannot search for roles: {0}","Рөлдерді іздеу мүмкін емес: {0}"
"Canvas","Кенеп"
"Career Preference Details","Мансап таңдауы туралы мәліметтер"
"Casual Wear","Күнделікті киім"
"Categories","Санаттар"
"Category","Санат"
"Category added successfully","Санат сәтті қосылды"
"Category created successfully","Санат сәтті жасалды"
"Category deleted successfully","Санат сәтті жойылды"
"Category is required.","Санат қажет."
"Category Name","Санат атауы"
"Category updated successfully","Санат сәтті жаңартылды"
"Category {0} does not exist.","{0} санаты жоқ."
"Certificate","Сертификат"
"certificate","сертификат"
"Certificate Email Template","Сертификат электрондық пошта үлгісі"
"Certificate Link","Сертификат сілтемесі"
"Certificate of completion","Аяқтау сертификаты"
"Certificate price","Сертификат бағасы"
"Certificate saved successfully","Куәлік сәтті сақталды"
"Certificates","Сертификаттар"
"certificates","сертификаттар"
"Certificates are not enabled for this batch.","Бұл топтама үшін сертификаттар қосылмаған."
"Certificates generated successfully","Сертификаттар сәтті жасалды"
"Certificates render from a Print Format. Build or customize templates from the desk.","Сертификаттар басып шығару пішімінен көрсетіледі. Үстелден үлгілерді құрастырыңыз немесе теңшеңіз."
"Certification","Сертификаттау"
"Certification available","Сертификаттау қол жетімді"
"Certification cannot be issued as the member has not completed the course.","Сертификаттау мүмкін емес, өйткені мүше курсты аяқтамаған."
"Certification cannot be issued as the member is not enrolled in this batch.","Мүше бұл топтамаға тіркелмегендіктен, сертификаттау мүмкін емес."
"Certification cannot be issued as the member is not enrolled in this course.","Мүше бұл курсқа тіркелмегендіктен, сертификаттау мүмкін емес."
"Certification Details","Сертификаттау мәліметтері"
"Certification is not enabled for this course.","Бұл курс үшін сертификаттау қосылмаған."
"Certification Name","Сертификаттау атауы"
"Certifications","Сертификаттар"
"Certifications per day","Күнделікті сертификаттар"
"Certified","Сертификатталған"
"Certified Members","Сертификатталған мүшелер"
"Certified Participants","Сертификатталған қатысушылар"
"CGPA/4","CGPA/4"
"Change","Өзгерту"
"Change who is a member?","Кімнің мүше екенін өзгерту керек пе?"
"Changes","Өзгерістер"
"Changes are not being saved while a saved rule needs fixing. Resolve the rule below to resume saving.","Сақталған ережені түзету қажет болған кезде өзгертулер сақталмайды. Сақтауды жалғастыру үшін төмендегі ережені шешіңіз."
"Changes saved successfully","Өзгерістер сәтті сақталды"
"Channel mapping deleted","Арна картасы жойылды"
"Channel members are the workspace members who also match these rules.","Арна мүшелері осы ережелерге сәйкес келетін жұмыс кеңістігінің мүшелері болып табылады."
"Channel rules","Арна ережелері"
"Channel rules · #{0}","Арна ережелері · #{0}"
"Channels","Арналар"
"Chapter","тарау"
"Chapter added successfully","Бөлім сәтті қосылды"
"Chapter deleted successfully","Бөлім сәтті жойылды"
"Chapter moved successfully","Бөлім сәтті жылжытылды"
"Chapter Reference","тарау сілтемесі"
"Chapter renamed successfully","Бөлім атауы сәтті өзгертілді"
"Chapter updated successfully","Бөлім сәтті жаңартылды"
"Chapters","тараулар"
"Charge a fee for batch enrollment.","Пакеттік тіркеу үшін ақы алыңыз."
"Charge learners to enroll in this course.","Оқушыларды осы курсқа жазылу үшін зарядтаңыз."
"Check","Тексеру"
"Check All Submissions","Барлық жіберілімдерді тексеріңіз"
"Check Discussion","Талқылауды тексеру"
"Check out the {0} to know more about certification.","Сертификаттау туралы көбірек білу үшін {0} қараңыз."
"Check Submission","Жіберуді тексеру"
"Check Submissions","Жіберулерді тексеру"
"Checkout Courses","Тексеру курстары"
"Checkout the batch","Топтаманы тексеріңіз"
"Checkout the course","Курсты тексеріңіз"
"Choices","Таңдаулар"
"Choose a payment provider to configure its credentials.","Тіркелгі деректерін конфигурациялау үшін төлем провайдерін таңдаңыз."
"Choose all answers that apply","Қолданылатын барлық жауаптарды таңдаңыз"
"Choose an existing question","Бар сұрақты таңдаңыз"
"Choose an icon","Белгішені таңдаңыз"
"Choose one answer","Бір жауапты таңдаңыз"
"City","Қала"
"Class:","Сынып:"
"Classes","Сабақтар"
"Classplus","Classplus"
"Clear","Таза"
"Clear color","Ашық түс"
"Clear Demo Data","Демо деректерді тазалау"
"Clearly Defined Role","Нақты анықталған рөл"
"Click here","Мұнда басыңыз"
"Client ID","Клиент идентификаторы"
"Client Secret","Клиент құпиясы"
"Close","Жабу"
"Closed","Жабық"
"Cloud","Бұлт"
"Coaching or Training Institute","Коучинг немесе оқыту институты"
"Code","Код"
"Collaboration Preference","Ынтымақтастық артықшылығы"
"Collapse","Жыйрату"
"College Name","Колледж атауы"
"College or University","Колледж немесе университет"
"Color","Түс"
"Colour mode","Түс режимі"
"Combine rules","Ережелерді біріктіру"
"Comma separated keywords","Үтірмен бөлінген кілт сөздер"
"Comma separated keywords for SEO","SEO үшін үтірмен бөлінген кілт сөздер"
"Command palette","Пәрмендер палитрасы"
"Comments","Пікірлер"
"Comments by Evaluator","Бағалаушының пікірлері"
"Common keywords that will be used for all pages","Барлық беттер үшін пайдаланылатын жалпы кілт сөздер"
"Community","Қауымдастық"
"Company","Компания"
"Company Details","Компания мәліметтері"
"Company Email Address","Компанияның электрондық пошта мекенжайы"
"Company Logo","Компания логотипі"
"Company Name","Компания атауы"
"Company or Workplace","Компания немесе жұмыс орны"
"Company Type","Компания түрі"
"Company Website","Компанияның веб-сайты"
"Compiler Message","Компилятор хабарламасы"
"Complete","Аяқталды"
"Complete Sign Up","Тіркелуді аяқтаңыз"
"Complete the upcoming quiz to continue watching the video. The quiz will open in {0} {1}.","Бейнені көруді жалғастыру үшін алдағы викторинаны аяқтаңыз. Викторина {0} {1} ішінде ашылады."
"Complete Your Enrollment","Тіркелуіңізді аяқтаңыз"
"Complete Your Enrollment - Don't miss out!","Тіркеуді аяқтаңыз - жіберіп алмаңыз!"
"Complete your profile","Профильді толтырыңыз"
"Completed","Аяқталды"
"completed","аяқталды"
"Completion Certificate","Аяқтау сертификаты"
"Completion certificate","Аяқтау сертификаты"
"Completion Rate","Аяқтау жылдамдығы"
"Completions","Аяқтаулар"
"Condition","Шарт"
"Condition must be in valid JSON format.","Шарт жарамды JSON пішімінде болуы керек."
"Condition must be valid python code.","Шарт жарамды питон коды болуы керек."
"Conduct Evaluation","Бағалауды жүргізу"
"Conferencing","Конференция"
"Conferencing Provider","Конференция провайдері"
"Configuration","Конфигурация"
"Configure certification for a course.","Курс үшін сертификаттауды конфигурациялаңыз."
"Configure your Brand Name, Logo, and Favicon","Бренд атын, логотипті және фавиконды конфигурациялаңыз"
"Confirm","Растау"
"Confirm Cancellation?","Бас тартуды растау керек пе?"
"Confirm clearing demo data?","Демо деректерін тазалауды растау керек пе?"
"Confirm Your Action","Әрекетіңізді растаңыз"
"Confirm your action to delete","Жою әрекетін растаңыз"
"Confirmation Email Sent","Растау электрондық поштасы жіберілді"
"Confirmation Email Template","Растау электрондық пошта үлгісі"
"Congratulations on getting certified!","Сертификат алуыңызбен құттықтаймыз!"
"Connect Raven to Frappe Learning","Raven-ді Frappe Learning-ке қосыңыз"
"Connect Raven to YU-LMS","Raven қолданбасын YU-LMS жүйесіне қосыңыз"
"Contact","Байланыс"
"Contact the Administrator to enroll for this course","Бұл курсқа жазылу үшін Әкімшіге хабарласыңыз"
"Contact the Administrator to enroll for this course.","Бұл курсқа жазылу үшін Әкімшіге хабарласыңыз."
"Contact Us","Бізбен байланысыңыз"
"Contact Us Email","Бізге хабарласыңыз Электрондық пошта"
"Contact Us URL","Бізбен байланысыңыз URL"
"Content","Мазмұны"
"Content is required","Мазмұн қажет"
"Continue Learning","Оқуды жалғастыру"
"Contract","Шарт"
"Copy","Көшіру"
"Corporate Organization","Корпоративтік ұйым"
"Correct","Дұрыс"
"Correct Answer","Дұрыс жауап"
"Could not check who this change affects","Бұл өзгерістің кімге әсер ететінін тексеру мүмкін болмады"
"Could not create channel","Арна жасалмады"
"Could not create the course ZIP file. Please try again later. Error: {0}","Курстың ZIP файлын жасау мүмкін болмады. Тағы жасауды сәл кейінірек көріңізді өтінеміз. Қате: {0}"
"Could not create workspace","Жұмыс кеңістігін жасау мүмкін болмады"
"Could not delete the quiz","Викторинаны жою мүмкін болмады"
"Could not enable the integration","Біріктіруді қосу мүмкін болмады"
"Could not link channel","Арнаны байланыстыру мүмкін болмады"
"Could not link workspace","Жұмыс кеңістігін байланыстыру мүмкін болмады"
"Could not load Halyk ePay. Please try again.","Halyk ePay жүктелмеді. Қайталап көріңіз."
"Could not recreate the Raven channel","Raven арнасын қайта жасау мүмкін болмады"
"Could not recreate the Raven workspace","Raven жұмыс кеңістігін қайта жасау мүмкін болмады"
"Could not rename channel","Арна атын өзгерту мүмкін болмады"
"Could not rename workspace","Жұмыс кеңістігінің атын өзгерту мүмкін болмады"
"Could not request payout","Төлемді сұрау мүмкін болмады"
"Could not save payment details","Төлем мәліметтерін сақтау мүмкін болмады"
"Could not start the payment. Please contact the administrator.","Төлемді бастау мүмкін болмады. Әкімшіге хабарласыңыз."
"Could not update channel","Арна жаңартылмады"
"Could not update enrollments: {0}","Тіркеулерді жаңарту мүмкін болмады: {0}"
"Could not update payout","Төлемді жаңарту мүмкін болмады"
"Could not update publish status","Жариялау күйін жаңарту мүмкін болмады"
"Could not update workspace","Жұмыс кеңістігін жаңарту мүмкін болмады"
"Country","Ел"
"Coupon","Купон"
"Coupon Code","Купон коды"
"Coupon created successfully","Купон сәтті жасалды"
"Coupon deleted successfully","Купон сәтті жойылды"
"Coupon Details","Купон мәліметтері"
"Coupon updated successfully","Купон сәтті жаңартылды"
"Course","Курс"
"course","курс"
"Course added to batch successfully","Курс топтамаға сәтті қосылды"
"Course added to program successfully","Курс бағдарламаға сәтті қосылды"
"Course already added to program","Курс бағдарламаға қосылып қойған"
"Course Chapter","Курс тарауы"
"Course Completed","Курс аяқталды"
"Course Completion","Курсты аяқтау"
"Course Completions","Курсты аяқтау"
"Course content","Курс мазмұны"
"Course Content coming soon!","Курс мазмұны жақында жарияланады!"
"Course Count","Курс саны"
"Course created successfully","Курс сәтті құрылды"
"Course Creator","Курс жасаушы"
"Course creator","Курсты жасаушы"
"Course Data","Курс деректері"
"Course deleted successfully","Курс сәтті жойылды"
"Course Description","Курс сипаттамасы"
"Course description","Курстың сипаттамасы"
"Course details","Курс мәліметтері"
"Course editor","Курс редакторы"
"Course Enrollment","Курсқа жазылу"
"Course Enrollments","Курсқа жазылу"
"Course Evaluator","Курсты бағалаушы"
"Course Instructor","Курс нұсқаушысы"
"Course Lesson","Курс сабағы"
"Course List","Курс тізімі"
"course must be a string","курс жол болуы керек"
"Course Name","Курс атауы"
"Course options","Курс нұсқалары"
"Course or Batch is required to issue a certificate.","Сертификат беру үшін курс немесе пакет қажет."
"Course overview","Курсқа шолу"
"Course price","Курс бағасы"
"Course Progress","Курстың барысы"
"Course Progress Summary","Курстың барысы туралы қорытынды"
"Course published","Курс жарияланды"
"course rating","курс рейтингі"
"Course Reviews","Курсқа шолулар"
"Course Settings","Курс параметрлері"
"Course Stats","Курс статистикасы"
"Course thumbnail","Курстың нобайы"
"Course Title","Курстың тақырыбы"
"Course unpublished","Курс жарияланбаған"
"Course updated successfully","Курс сәтті жаңартылды"
"Course {0} has already been added to this batch.","{0} курсы осы топтамаға қосылған."
"Course {0} has already been added to this program.","{0} курсы осы бағдарламаға қосылған."
"Courses","Курстар"
"courses","курстар"
"Courses Completed","Аяқталған курстар"
"Courses Created","Құрылған курстар"
